Author,Section,Question,Answer
Human Summary (A1),2.1.2,What is used to indicate precedence for matching?,Parentheses
Human Summary (A1),2.1.2,Parentheses can define strings to match with for symbols that apply to what by default?,single characters
Human Summary (A1),2.1.2,"What prefers parentheses, counters, sequences and anchors, and disjunction in that order?",operator precedence hierarchy
Human Summary (A1),2.1.2,Regular expressions always match what?,largest possible string
Human Summary (A1),2.1.3,What increases precision and recall?,Reducing error
Human Summary (A1),2.1.4,What can you specify?,the number of an instance in a pattern
Human Summary (A1),2.1.4,How many instances of the previous character or expression are there?,four
Human Summary (A1),2.1.4,What can you specify in a pattern?,ranges
Human Summary (A1),2.1.4,What can you refer to with a backslash?,special characters
Human Summary (A1),2.1.4,What are some special characters that you can refer to with a backslash?,"( ), ( )"
Human Summary (A1),2.1.6,What is an important use of regular expressions?,Substitutions
Human Summary (A1),2.1.6,What do we use number operators to do?,match a specific expression twice or more in a text
Human Summary (A1),2.1.6,What backslash operator refers to the nth instance of a certain phrase or pattern in the text?,n
Human Summary (A1),2.1.6,When does the command(? :) indicate a non-capturing group?,after an opening parenthesis
Human Summary (A1),2.1.6,What is not placed in the register?,A non-capturing group
Human Summary (A1),2.1.7,What searches text ahead for patterns?,Lookahead assertions
Human Summary (A1),2.1.7,What match does the question-mark-equal-sign search for?,zero-width
Human Summary (A1),2.2,What is a computer-readable collection of text or dialogue?,A corpus
Human Summary (A1),2.2,What are utterances?,spoken sentences
Human Summary (A1),2.2,What are disfluencies?,fragments or fillers
Human Summary (A1),2.2,Fragments are what?,broken words
Human Summary (A1),2.2,Disfluencies can be hindrances or what kind of signals?,useful
Human Summary (A1),2.2,What is the set of words that share the same major word?,lemma
Human Summary (A1),2.2,How can we differentiate the number of words?,by counting tokens or types
Human Summary (A1),2.2,What are tokens?,total number of words
Human Summary (A1),2.2,What are the number of unique words?,Types
Human Summary (A1),2.2,Herdan's Law or Heap's Law states that the type equals what to the power of beta?,k times token
Human Summary (A1),2.2,How can we measure a corpus?,counting the number of lemmas
Human Summary (A1),2.2,What is the rough upper limit for the number of possible lemmas?,Dictionary entries or boldface forms
Human Summary (A1),2.3,What are some variations in languages?,"dialect, code switching, genre"
Human Summary (A1),2.3,Who can build datasheets to organize the properties of a corpus?,Corpus creators
Human Summary (A1),2.4.1,What must be normalized in order to be processed?,natural languages
Human Summary (A1),2.4.1,What does normalization involve?,"tokenizing words, normalizing formats, and segmenting words"
Human Summary (A1),2.4.1,What is a basic method of tokenizing words?,Unix
Human Summary (A1),2.4.1,"Unix can collapse, sort, and build statistics for the words in a corpus using commands such as what?",tr
Human Summary (A1),2.4.1,What are the most common words in a corpus?,"articles, pronouns, and prepositions"
Human Summary (A1),2.4.2,What does actual tokenization involve?,segmenting text into words
Human Summary (A1),2.4.2,What must we account for according to where and how they are used?,punctuation and special characters
Human Summary (A1),2.4.2,What can a tokenizer do?,expand clitic contractions
Human Summary (A1),2.4.2,"What is the identification of names, dates, organizations, etc?",Named entity recognition
Human Summary (A1),2.4.2,What is an example of clitic contraction?,I'm
Human Summary (A1),2.4.2,What is used for parsed corpora released by the LDC?,Penn Treebank tokenization standard
Human Summary (A1),2.4.2,What is important to tokenization before any other natural language processing can take place?,speed
Human Summary (A1),2.4.2,What do algorithms have to deal with?,ambiguities
Human Summary (A1),2.4.2,What language has no spaces?,Chinese
Human Summary (A1),2.4.2,What is each character in a word barrier?,a morpheme
Human Summary (A1),2.4.2,What language requires word segmentation?,Japanese
Human Summary (A1),2.4.2,What is used for segmentation in languages with more ambiguities?,Neural sequence models
Human Summary (A1),2.4.3,What can be automatically identified instead of pre-defining tokens as words or characters?,type of token
Human Summary (A1),2.4.3,Automatic identification of tokens can solve what problem?,unknown word problem
Human Summary (A1),2.4.3,Tokenizers often do what in order to solve the unknown word problem?,induce subwords
Human Summary (A1),2.4.3,What are most tokenization schemes made out of?,token learner and a token segmenter
Human Summary (A1),2.4.3,What induces a set of tokens from raw data?,token learner
Human Summary (A1),2.4.3,What takes raw sentences and segments it based on the tokens produced by the learner?,token segmenter
Human Summary (A1),2.4.3,What are the three widely-used algorithms that employ this method?,"byte-pair encoding, unigram language modeling, and WordPiece"
Human Summary (A1),2.4.3,What library implements byte-pair encoding and unigram language modeling?,The SentencePiece library
Human Summary (A1),2.4.3,What is another name for byte-pair encoding?,BPE
Human Summary (A1),2.4.3,BPE repeats the process until what number of merges have happened?,k
Human Summary (A1),2.4.3,What is the number of ens in a vocabulary?,k
Human Summary (A1),2.4.4,What standardizes words and tokens?,Word Normalization
Human Summary (A1),2.4.4,What maps all characters to one type of casing?,Case Folding
Human Summary (A1),2.4.4,Why is case folding not used in some cases?,disadvantageous
Human Summary (A1),2.4.4,What is the process of determining shared roots among words?,Lemmatization
Human Summary (A1),2.4.4,What does lemmatization involve?,complete morphological parsing of a word
Human Summary (A1),2.4.4,What are the two broad classes of morphemes?,"stems, and affixes"
Human Summary (A1),2.4.4,Morphemes can be divided into two broad classes: what is the central morpheme and supply the main meaning?,stems
Human Summary (A1),2.4.4,What are the add-ons that alter meanings or add more on?,Affixes
Human Summary (A1),2.4.4,What is a simpler version of lemmatization?,Stemming
Human Summary (A1),2.4.4,What is a widely used stemming algorithm based on a cascade rewriting process governed by a set of rules?,The Porter algorithm
Human Summary (A1),2.4.5,What is one of the most successful cues for sentence segmentation?,punctuation
Human Summary (A1),2.4.5,A period can be used as part of what?,abbreviations
Human Summary (A1),2.4.5,What identifies the role of a period before segmentation?,sentence tokenization
Human Summary (A1),2.5.0,What often involves identifying similarities between strings?,Natural language processing
Human Summary (A1),2.5.0,What is another term for determining whether two strings refer to the same entity?,coreference
Human Summary (A1),2.5.0,What is a way to quantify this measure of similarity?,Edit distance
Human Summary (A1),2.5.0,What is the minimum number of editing operations required to make two strings equal?,Minimum edit distance
Human Summary (A1),2.5.0,What is a correspondence between two strings?,their alignment
Human Summary (A1),2.5.0,What indicates the editing operations needed to equalize two strings?,operation list
Human Summary (A1),2.5.0,What is the most simple way to assign weight to editing operations?,Levenshtein distance
Human Summary (A1),2.5.0,How many methods did Levenshtein propose?,two weighting methods
Human Summary (A1),2.5.1,What is used to find the minimum edit distance?,dynamic programming
Human Summary (A1),2.5.1,What is a class of algorithms that attempts to solve problems by combining solutions to sub-problems?,Dynamic programming
Human Summary (A1),2.5.1,What are two examples of dynamic programming?,Viterbi algorithm and the CKY algorithm
Human Summary (A1),2.5.1,Who named the minimum edit distance algorithm?,Wagner and Fischer
Human Summary (A1),2.5.1,What is the distance where insertion and deletion have cost 1 and substitution has cost 2?,Levenshtein
Human Summary (A1),2.5.1,What can be formed by extending the edit distance algorithm?,Alignments
Human Summary (A1),2.5.1,From what cell does an edit distance matrix backtrace?,last cell
Human Summary (A1),2.5.1,What is a probabilistic extension of the minimum edit distance?,Viterbi algorithm
Human Summary (A1),3.0,What can assign probabilities to word sequences to predict the next word in a sentence?,Models
Human Summary (A1),3.0,"Probabilities can be used for speech recognition, spelling correction, grammatical error correction, and what else?",machine translation
Human Summary (A1),3.0,How many different candidates may we have for a translation of a sentence?,three
Human Summary (A1),3.0,What are models that assign probabilities to word sequences called?,language models
Human Summary (A1),3.0,What can refer to both a sequence of n words and the predictive model that assigns it a probability?,n-gram
Human Summary (A1),3.1,What does P(w|h)> mean?,the probability of a word w given history h
Human Summary (A1),3.1,Why are joint probabilities difficult to calculate?,too many possible sentences of a certain length
Human Summary (A1),3.1,What is one way we can compute the probability of a sequence?,the chain rule of probability
Human Summary (A1),3.1,How can we calculate the joint probability of a sequence?,by multiplying together several conditional probabilities
Human Summary (A1),3.1,What model approximates the history of a sequence using the last few words and uses that approximated history to estimate the probability of a word?,The n-gram model
Human Summary (A1),3.1,What assumes that the probability of a word only depends on the previous word?,The Markov assumption
Human Summary (A1),3.1,What models try to predict future words without looking far into the past?,Markov models
Human Summary (A1),3.1,What is an intuitive way of estimating n-gram probabilities?,Maximum likelihood estimation
Human Summary (A1),3.1,"To calculate the bigram probability of x given y, we calculate count of what corpus?",C(xy)
Human Summary (A1),3.1,What is the MLE?,n-gram parameter estimation
Human Summary (A1),3.1,What is the ratio of dividing the observed frequency of a particular sequence by the observed frequency of a prefix?,relative frequency
Human Summary (A1),3.1,Some bigram probabilities encode what?,syntactic rules
Human Summary (A1),3.1,All language model probabilities are represented in log format as what?,log probabilities
Human Summary (A1),3.1,What prevents storing too-small numbers?,Log probabilities
Human Summary (A1),3.2.0,What embeds a model in an application and measures how much the application improves in an end to end evaluation?,Extrinsic evaluation
Human Summary (A1),3.2.0,What measures the quality of a model independent of any application and requires a test set of unseen data?,Intrinsic evaluation
Human Summary (A1),3.2.0,What would happen if we accidentally trained the model on the test set?,bias
Human Summary (A1),3.2.0,What is a test set that has been used so often that we need a fresher test set?,A development set
Human Summary (A1),3.2.0,What do we want when dividing our data?,smallest test set
Human Summary (A1),3.2.1,What is the inverse probability of the test set normalized by the number of words?,perplexity
Human Summary (A1),3.2.1,What is the inverse probability of the test set normalized by the number of words?,Perplexity
Human Summary (A1),3.2.1,What do we want to do with perplexity in a model?,minimize perplexity
Human Summary (A1),3.2.1,What is perplexity referred to as?,weighted average branching factor of a language
Human Summary (A1),3.2.1,What is the branching factor?,the number of possible words that can follow any word
Human Summary (A1),3.2.1,What does not necessarily mean an extrinsic improvement in the performance of a model?,intrinsic improvement in perplexity
Human Summary (A1),3.3.0,Many statistical models including the n-gram are dependent on what?,training corpus
Human Summary (A1),3.3.0,What can an n-gram model do as the value of N is increased?,increase
Human Summary (A1),3.3.0,What does the better the coherence of an n-gram model?,the longer the context on which we train an n-gram
Human Summary (A1),3.3.0,What do we want an n-gram to answer and predict?,sentences
Human Summary (A1),3.3.0,What can we use to build an n-gram to answer and predict sentences that make sense in context?,training corpus of a similar genre
Human Summary (A1),3.3.0,What type of questions would a model for answering be trained with?,scientific
Human Summary (A1),3.3.0,What is important to consider when training a model?,dialect and variety
Human Summary (A1),3.3.0,What must we consider even after considering dialect and genre when training a model?,sparsity
Human Summary (A1),3.3.0,"If a training corpus fails to contain certain sequences, it is possible that the model incorrectly estimates that those sequences have a probability of",0
Human Summary (A1),3.3.0,Why are 0 probabilities a problem?,we are underestimating the probability for various words
Human Summary (A1),3.3.1,"In closed vocabulary systems, test sets contain only what?",known words
Human Summary (A1),3.3.1,What is the term for unknown words?,out of vocabulary
Human Summary (A1),3.3.1,What is the percentage of OOV in a test set called?,the OOV rate
Human Summary (A1),3.3.1,What is the pseudo-word used to model potential OOVs in a test set?,UNK>
Human Summary (A1),3.3.1,How many ways are there to train probabilities of UNK>?,two
Human Summary (A1),3.3.1,How does the first method turn the problem into a closed vocabulary situation?,by choosing a vocabulary fixed in advance
Human Summary (A1),3.3.1,What metrics does the UNK> model effect?,perplexity
Human Summary (A1),3.4.0,What is it called when we remove some probability mass for more frequent events and reassign it to unseen events with known words?,smoothing or discounting
Human Summary (A1),3.4.0,How many main methods of smoothing are studied?,four
Human Summary (A1),3.4.1,What is another name for Laplace smoothing?,add-one smoothing
Human Summary (A1),3.4.1,What is the unigram probability of word w_i?,c_i
Human Summary (A1),3.4.1,What is the adjusted count c* easier to compare with?,MLE counts
Human Summary (A1),3.4.1,What is a smoothing algorithm described as?,relative discount d_c
Human Summary (A1),3.4.2,What moves less probability mass from the seen to the unseen than Laplace smoothing?,Add-k smoothing
Human Summary (A1),3.4.2,How can add-k smoothing be done?,by optimizing on a devset
Human Summary (A1),3.4.2,Add-k doesn't work well for what?,language modeling
Human Summary (A1),3.4.3,"In backoff, we use a less-context n-gram if what?",evidence is not sufficient
Human Summary (A1),3.4.3,What is the backoff with discounting called?,Katz backoff
Human Summary (A1),3.4.3,What smoothing method is Katz backoff often used with?,Good-Turing
Human Summary (A1),3.4.3,In what method do we mix the probability estimates from all the n-gram estimators?,interpolation
Human Summary (A1),3.4.3,What can converge on locally optimal lambda values?,EM algorithm
Human Summary (A1),3.5,What is one of the most used and best performing n-gram smoothing methods?,Kneser-Ney Smoothing
Human Summary (A1),3.5,What is Kneser-Ney based on?,absolute discounting
Human Summary (A1),3.5,What is the contexts of a word w?,the number of bigram types it completes
Human Summary (A1),3.5,What is the best performing Kneser-Ney smoothing?,modified Kneser-Ney smoothing
Human Summary (A1),3.6,What is it possible to build by using text from enormous collections such as the web?,huge language models
Human Summary (A1),3.6,What company released the Web 1 Trillion 5-gram corpus?,Google
Human Summary (A1),3.6,What type of hash numbers are stored in memory?,64-bit
Human Summary (A1),3.6,How can n-grams be shrunk?,pruning
Human Summary (A1),3.6,What is a method used to build approximate language models?,Bloom filters
Human Summary (A1),3.6,What toolkit uses sorted arrays to build efficient probability tables?,KenLM
Human Summary (A1),3.6,What is it possible to build huge language models using?,Kneser-Ney smoothing
Human Summary (A1),3.6,What does Brans et al. (2007) show can suffice?,simpler stupid backoff
Human Summary (A1),3.6,What does not attempt to make the language model a true probability distribution?,Stupid backoff
Human Summary (A1),3.6,Who found that a value of 0.4 works well for lambda in a stupid backoff algorithm?,S. Brants et al.
Human Summary (A1),3.6,What value works well for lambda in a stupid backoff algorithm?,0.4
Human Summary (A1),3.7,The concept of perplexity comes from the information-theoretic concept of what?,cross-entropy
Human Summary (A1),3.7,What is the entropy of random variable X?,p(x)
Human Summary (A1),3.7,What is entropy measured by using log base 2?,entropy in bits
Human Summary (A1),3.7,What can also be considered a lower bound on the number of bits required to encode something in the optimal coding scheme?,Entropy
Human Summary (A1),3.7,What is another name for the entropy rate?,per-word entropy
Human Summary (A1),3.7,What is the Shannon-McMillan-Breiman theorem?,if the language is stationary and ergodic
Human Summary (A1),3.7,What is stationary if the probabilities it assigns to a sequence are not affected by shifts in the time index?,A stochastic process
Human Summary (A1),3.7,What is an upper bound on entropy?,Cross-entropy
Human Summary (A1),3.7,What can now be defined as the exp of cross-entropy H?,Perplexity
Human Summary (A1),4.0,What is a core part of sentient intelligence?,Classification
Human Summary (A1),4.0,What is a task that classifies and assigns labels to a text or document?,Text categorization
Human Summary (A1),4.0,What identifies the positive or negative attitude of a writer towards an object?,Sentiment analysis
Human Summary (A1),4.0,What is a classification class that assigns an email to one of two classes spam or not-spam?,Spam detection
Human Summary (A1),4.0,What recognizes which language a task is written in?,Language id
Human Summary (A1),4.0,What is the task of identifying a text's author?,Authorship attribution
Human Summary (A1),4.0,What is one of the oldest text classification tasks?,Assigning a library subject category or topic to a text
Human Summary (A1),4.0,Where is classification needed?,levels smaller than the document
Human Summary (A1),4.0,What can be considered a form of classification?,"Period disambiguation, word tokenization, language modeling"
Human Summary (A1),4.0,What is the goal of classification?,"to take a single observation, extract features, and classify the observation into a specific class"
Human Summary (A1),4.0,What do many areas of language processing use?,rule-based classifiers
Human Summary (A1),4.0,What does a probabilistic classifier output?,probability of an object belonging to a certain class
Human Summary (A1),4.0,What type of classifier builds a model of how a class could generate input?,Generative classifiers
Human Summary (A1),4.0,What classifiers learn which features from an observation are most useful to differentiate classes?,Discriminative classifiers
Human Summary (A1),4.1,What is a probabilistic Bayesian classifier that makes simplifying assumptions about how features interact?,The multinomial naive Bayes classifier
Human Summary (A1),4.1,What does the naive Bayes classifier consider a document as?,a bag-of-words
Human Summary (A1),4.1,What type of model is naive Bayes?,generative
Human Summary (A1),4.1,How do we compute most probable class c-hat given document d?,choosing the class with the highest product of the prior probability P(c) and the likelihood P(d|c)
Human Summary (A1),4.1,What are the two assumptions that naive Bayes classifiers make?,"the bag-of-words assumption (position does not matter), and the naive Bayes assumption"
Human Summary (A1),4.1,What are classifiers like naive Bayes that use a linear combination of inputs called?,linear classifiers
Human Summary (A1),4.2,What must consist of the union of all word types in all classes involved?,Vocabulary V
Human Summary (A1),4.2,What naively multiplies all feature likelihoods?,naive Bayes
Human Summary (A1),4.2,What is the simplest solution for preventing zero probability classes?,Laplace smoothing
Human Summary (A1),4.2,What does the naive Bayes ignore?,unknown words
Human Summary (A1),4.2,What do some systems completely ignore?,stop words
Human Summary (A1),4.4,What is more important to optimize the naive Bayes text classification for sentiment analysis?,whether a word occurs or not
Human Summary (A1),4.4,What is another name for binary multinomial naive Bayes?,binary NB
Human Summary (A1),4.4,What is another issue to deal with?,negation
Human Summary (A1),4.4,What prefix is prepended to every word after a token of logical negation until the next punctuation mark?,NOT_
Human Summary (A1),4.4,What can we derive if we lack labeled training data to train accurate naive Bayes classifiers?,positive and negative features
Human Summary (A1),4.4,What are some popular sentiment lexicons?,"General Inquirer, LIWC, opinion lexicon of Hu and Liu, and MPQA Subjectivity Lexicon"
Human Summary (A1),4.5,What can change features to express any property of input text?,Naive Bayes
Human Summary (A1),4.5,What can non-linguistic features include in spam detection?,HTML details
Human Summary (A1),4.5,What are the most effective naive Bayes features?,character n-grams
Human Summary (A1),4.6,A naive Bayes model can be viewed as a set of what?,class-specific unigram language models
Human Summary (A1),4.7.0,Gold labels are human-defined labels for what?,documents
Human Summary (A1),4.7.0,What is a table visualizing how an algorithm performs with respect to human gold labels based on system output and gold labels?,confusion matrix
Human Summary (A1),4.7.0,What does each cell in a confusion matrix contain?,possible outcomes
Human Summary (A1),4.7.0,"Accuracy is not a good measurement for classifiers, so we turn to what?",precision and recall
Human Summary (A1),4.7.0,What is the percentage of items detected by the system that are in fact positive according to gold labels?,Precision
Human Summary (A1),4.7.0,What is the percentage of items actually present in input that were correctly identified?,Recall
Human Summary (A1),4.7.0,What is a single metric incorporating precision P and recall R?,F-measure
Human Summary (A1),4.7.0,What is the weighted mean of P and R?,harmonic mean
Human Summary (A1),4.7.1,Many classification involves what?,multiple classes
Human Summary (A1),4.7.1,What definitions must we modify to classify multiple classes?,precision and recall
Human Summary (A1),4.7.1,How do we combine precision and recall?,macroaveraging
Human Summary (A1),4.7.1,What is another way to combine precision and recall?,microaveraging
Human Summary (A1),4.8,Training and testing for text classification is similar to what?,language modeling
Human Summary (A1),4.8,What do we use to tune parameters and decide on the best model?,the development test set
Human Summary (A1),4.8,What randomly chooses a training and test set division of our data?,Cross-validation
Human Summary (A1),4.8,How many times does cross-validation give an average error rate?,10-fold
Human Summary (A1),4.8,What is the problem with cross-validation?,blind
Human Summary (A1),4.9.0,What is used to compare the performance of two systems?,Statistical significance testing
Human Summary (A1),4.9.0,"What is the performance difference between M(A,x) and M(A,b)?",delta(x)
Human Summary (A1),4.9.0,What is the effect size?,delta(x)
Human Summary (A1),4.9.0,What is the effect size?,larger
Human Summary (A1),4.9.0,"To check if system A is actually better than system B, we must check what over other test sets?",its superiority
Human Summary (A1),4.9.0,What is the null hypothesis that supposes that delta is negative or zero?,Hypothesis H_0
Human Summary (A1),4.9.0,What random variable is created over all test sets to find if we can rule out H_0?,X
Human Summary (A1),4.9.0,What determines a system difference is statistically significant?,the delta we saw has a probability under the threshold
Human Summary (A1),4.9.0,What are the two common non-parametric tests used in NLP?,approximate randomization and the bootstrap test
Human Summary (A1),4.9.0,What are tests where we compare two sets of aligned observations?,Paired tests
Human Summary (A1),4.9.1,What can apply to any metric?,bootstrap test
Human Summary (A1),4.9.1,The bootstrap test refers to repeatedly drawing what with replacement from an original larger sample?,large numbers of smaller samples
Human Summary (A1),4.9.1,What does the bootstrap test create from an observed test set?,virtual tests
Human Summary (A1),4.10,What can cause a variety of harms?,classifiers
Human Summary (A1),4.10,What class of harms are caused by a system that demeans a social group?,Representational
Human Summary (A1),4.10,"What aim to detect hate speech abuse, harassment, etc. but may act as censors instead?",Toxicity detection
Human Summary (A1),4.10,What can cause these issues?,biases in training data
Human Summary (A1),4.10,What is one way to study and clarify biases in training data?,releasing a model card
Human Summary (A2),2.0,What is an early natural language processing system that mimiced a Rogerian psychotherapist to carry on conversation?,ELIZA
Human Summary (A2),2.0,ELIZA's responses were what?,limited
Human Summary (A2),2.0,ELIZA and what other system still play a crucial role in natural language processing today?,chatbots
Human Summary (A2),2.0,"What does ELIZA use to convert text into a more convenient, standard form?",text normalization
Human Summary (A2),2.0,What identifies the implicit shared roots between words?,lemmatization
Human Summary (A2),2.0,How is lemmatization done?,stripping the suffixes
Human Summary (A2),2.0,What is used to break up a text into individual sentences?,punctuation
Human Summary (A2),2.0,What does edit distance evaluate?,degree of resemblance between two strings
Human Summary (A2),2.1.1,What is an algebraic notation for characterizing a set of strings that is useful for searching for a pattern or through a corpus?,The regular expression
Human Summary (A2),2.1.1,What will be shown in the regular expression?,first matching result
Human Summary (A2),2.1.1,Is the search string case sensitive or case sensitive?,case sensitive
Human Summary (A2),2.1.1,What can more easily look for characters over a range?,dash
Human Summary (A2),2.1.1,What specifies the non-existence of a character?,The caret
Human Summary (A2),2.1.1,What does the (?) mean?,the preceding character or nothing
Human Summary (A2),2.1.1,What does the (?) mean?,the preceding character or nothing
Human Summary (A2),2.1.1,What means zero or more occurrences of the immediately preceding character or regular expression in square braces?,the Kleene star
Human Summary (A2),2.1.1,What special case is equivalent to the Kleene star with one more occurrences?,Kleene plus
Human Summary (A2),2.1.1,What is an expression that matches any single character in the form of a period?,wildcard
Human Summary (A2),2.1.1,What are special characters that fix regular expressions to particular places in a string?,Anchors
Human Summary (A2),2.1.1,What matches a non-word boundary?,B
Human Summary (A2),2.1.2,The pipe symbol signifies what?,disjunction
Human Summary (A2),2.1.2,The parenthesis operator is often used in combination with what?,counters
Human Summary (A2),2.1.2,"What does the regular expression follow in the order of parenthesis, counters, sequences and anchors, and disjunction?",the operator precedence hierarchy
Human Summary (A2),2.1.2,Non-greedy matching can be enforced by what?,question mark qualifier
Human Summary (A2),2.1.3,How can we avoid false positives?,increasing precision
Human Summary (A2),2.1.3,How can we avoid false negatives?,increasing recall
Human Summary (A2),2.1.4,How can we use explicit numbers as counters?,curly brackets
Human Summary (A2),2.1.4,What expression can be used to indicate occurrences within a range?,Modified curly brackets
Human Summary (A2),2.1.4,The newline character and tab character are referred to by special notation based on what?,the backslash
Human Summary (A2),2.1.4,Characters that are special themselves are what?,preceded with a backslash
Human Summary (A2),2.1.6,What operator allows a string characterized by a regular expression to be replaced by another string?,substitution operator
Human Summary (A2),2.1.6,What refers back to the first pattern described by the parenthesis operator?,The number operator
Human Summary (A2),2.1.6,What is the use of parentheses to store a pattern in a numbered register?,The capture group
Human Summary (A2),2.1.6,What is matched with?,second capture group
Human Summary (A2),2.1.6,What is used to group but not capture the resulting pattern in a register?,non-capturing group
Human Summary (A2),2.1.6,What are crucial in implementing simple chatbots like ELIZA?,Substitutions and capture groups
Human Summary (A2),2.1.7,What assertion looks for future matchings without advancing the match cursor?,lookahead
Human Summary (A2),2.1.7,What is the operator of the lookahead assertion?,zero-width
Human Summary (A2),2.1.7,What is used to rule out special cases while parsing complex pattern?,Negative lookahead
Human Summary (A2),2.2,What is a computer-readable collection of text or speech?,A corpus
Human Summary (A2),2.2,What is an utterance?,spoken correlate of a sentence
Human Summary (A2),2.2,What are examples of disfluencies?,fragments and fillers or filled pauses
Human Summary (A2),2.2,"What is a set of lexical forms having the same stem, major part-of-speech, and word sense?",A lemma
Human Summary (A2),2.2,What is the derived form of a word?,The word-form
Human Summary (A2),2.2,What are Types |V|?,the numbers of distinct words in a corpus
Human Summary (A2),2.2,What is the relationship between the number of types |V| and number of tokens N called?,Herdan's Law or Heaps' Law
Human Summary (A2),2.2,What is a rough upper bound on the number of lemmas?,boldface forms
Human Summary (A2),2.3,How many languages are there in the world?,7098
Human Summary (A2),2.3,What is the phenomenon where speakers and writers use multiple languages in a single communicative act?,Code switching
Human Summary (A2),2.3,What are other dimensions of variation?,"genre, demographic characteristics of the writer or speaker, and time"
Human Summary (A2),2.3,What specifies properties of a dataset used in the development of computational models?,data statement
Human Summary (A2),2.3,What does the datasheet outline?,"motivation, situation, language variety, speaker demographics, collection process, annotation process, and distribution"
Human Summary (A2),2.4.1,What are the minimal tasks applied as part of any normalization process?,"Tokenizing words, normalizing word formats, and segmenting sentences"
Human Summary (A2),2.4.1,What command in Unix changes particular characters in the input?,The tr command
Human Summary (A2),2.4.1,The sort command sorts input lines in what order?,alphabetical order
Human Summary (A2),2.4.1,What are function words?,"articles, pronouns, prepositions"
Human Summary (A2),2.4.2,What is the task of segmenting running text into words?,Tokenization
Human Summary (A2),2.4.2,What are intentionally included in most NLP applications because they represent word boundaries?,Punctuations and numbers
Human Summary (A2),2.4.2,What can a tokenizer do in alphabetic languages?,expand clitic contractions
Human Summary (A2),2.4.2,What standard separates out clitics?,Penn Treebank tokenization
Human Summary (A2),2.4.2,What do deterministic algorithms compile into?,finite state automata
Human Summary (A2),2.4.2,What is more complex in languages that do not use spaces to mark potential word-boundaries?,Word tokenization
Human Summary (A2),2.4.2,What does each character represent in Chinese?,a morpheme
Human Summary (A2),2.4.2,What do most Chinese NLP tasks take as input?,characters
Human Summary (A2),2.4.2,What are too small to be a unit?,Japanese and Thai characters
Human Summary (A2),2.4.3,What learns facts about an unknown language from a training corpus?,NLP algorithms
Human Summary (A2),2.4.3,What are tokens smaller than words?,Subwords
Human Summary (A2),2.4.3,Most tokenization schemes have a token learner and what?,token segmenter
Human Summary (A2),2.4.3,What is the second part of most tokenization schemes?,token segmenter
Human Summary (A2),2.4.3,What segments a raw test sentence into the tokens in the vocabulary?,token segmenter
Human Summary (A2),2.4.3,What is one of the three widely used algorithms?,WordPiece
Human Summary (A2),2.4.3,What implements both byte-pair encoding and unigram language modeling?,a SentencePiece library
Human Summary (A2),2.4.3,What is also known as the BPE algorithm?,byte-pair encoding
Human Summary (A2),2.4.3,What does the BPE algorithm run?,inside words that are white-space-separated
Human Summary (A2),2.4.3,What is a parameter of the BPE algorithm?,k
Human Summary (A2),2.4.3,The BPE token parser evaluates the test sentence using what?,the given vocabulary
Human Summary (A2),2.4.3,"In real BPE algorithms, only what words will be represented by their parts?",very rare
Human Summary (A2),2.4.4,What is the task of putting words and tokens in a standard format?,Word normalization
Human Summary (A2),2.4.4,What is case folding not used for?,"sentiment analysis, information extraction, and machine translation"
