Author,Section,Question,Answer,Category,A1,A2,A3
Human Summary,2.4.3,What are most tokenization schemes made out of?,token learner and a token segmenter,Acceptable,Y,Y,Y
Human Summary,2.4.4,What is standardizing the format of words and tokens?,Word normalization,Acceptable,Y,Y,Y
Automatic Summary,2.4.4,What is generally not done for sentiment analysis analysis and machine translation?,case folding,Acceptable,Y,Y,N
Original Text,2.4.4,What are two types of normalization that we might want to see information from documents whether they mention the US or the USA?,information retrieval or information extraction,Acceptable,Y,N,N
Original Text,2.4.4,"What is the central morpheme of the word, supplying the main meaning, and affixes?",stems,Acceptable,N,N,Y
Human Summary,2.4.4,What determines if two words share the same root?,Lemmatization,Acceptable,Y,Y,Y
Human Summary,2.4.4,What are the two broad classes of morphemes?,"stems, and affixes",Acceptable,Y,Y,Y
Original Text,2.4.5,What character is ambiguous between a sentence boundary marker and a marker of abbreviations like Mr. or Inc?,period character,Acceptable,Y,Y,Y
Automatic Summary,2.4.5,What is one of the most useful cues for segmenting a text into sentences?,punctuation,Acceptable,Y,Y,Y
Automatic Summary,2.4.5,What is another important step in text processing?,Sentence segmentation,Acceptable,Y,Y,N
Human Summary,2.4.5,What are some clues in sentence segmentation?,"periods, question marks, and exclamation points",Acceptable,Y,Y,Y
Automatic Summary,2.5.0,What represents an operation list for converting the top string into the bottom string?,a series of symbols,Acceptable,Y,N,N
Original Text,2.5.0,What is a similar word to a graffe?,graffe,Acceptable,N,N,N
Human Summary,2.5.0,What is the task of deciding whether two strings refer to the same entity?,Coreference,Acceptable,Y,Y,Y
Original Text,2.5.0,How many words do the two strings differ by?,one,Acceptable,N,N,N
Automatic Summary,2.5.0,What is the minimum edit distance?,minimum number of editing operations needed to transform one string into another,Acceptable,Y,Y,Y
Original Text,2.5.0,What gives us a way to quantify both of these intuitions about string similarity?,Edit distance,Acceptable,Y,N,N
Original Text,2.5.0,What did Levenshtein propose in his metric that each insertion or deletion has a cost of 1 and what else?,substitutions are not allowed,Acceptable,Y,N,N
Automatic Summary,2.5.0,What is the most important visualization for string distances?,an alignment between the two strings,Acceptable,Y,N,N
Human Summary,2.5.0,What is the minimum number of editing operations required to make two strings equal?,Minimum edit distance,Acceptable,Y,Y,Y
Human Summary,2.5.0,What can help to quantify the similarity between strings?,Minimum edit distance,Acceptable,Y,Y,Y
Original Text,2.5.1,What is the minimum edit distance?,2.8,Acceptable,N,N,N
Automatic Summary,2.5.1,What is useful throughout speech and language processing?,Aligning two strings,Acceptable,Y,N,N
Automatic Summary,2.5.1,When was dynamic programming first introduced?,1957,Acceptable,N,N,N
Automatic Summary,2.5.1,What plays a role in machine translation?,Alignment,Acceptable,Y,N,N
Original Text,2.5.1,Where is the minimum edit distance algorithm summarized?,Fig. 2.17,Acceptable,N,N,N
Original Text,2.5.1,Where are the backpointers from a cell shown in Fig. 2.19?,2.19,Acceptable,N,N,N
Automatic Summary,2.5.1,What is the name for a class of algorithms that apply a table-driven method to solve problems by combining solutions to sub-problems?,Dynamic programming,Acceptable,Y,Y,Y
Original Text,2.5.1,Where are the backpointers from a cell shown?,Fig. 2.19,Acceptable,N,N,N
Original Text,2.5.1,What is the name for a class of algorithms that apply a table-driven method to solve problems by combining solutions to sub-problems?,dynamic programming,Acceptable,Y,Y,N
Original Text,2.5.1,What is the edit distance between X 1..i and Y 1..j?,"D|i, j",Acceptable,N,N,N
Human Summary,2.5.1,Who named the minimum edit distance algorithm?,Wagner and Fischer,Acceptable,N,Y,N
Automatic Summary,3.0,"What writing tools need to find and correct errors in writing like ""Their are two midterms""?",spelling correction or grammatical error correction,Acceptable,Y,Y,N
Human Summary,3.0,What can refer to both a sequence of n words and the predictive model that assigns it a probability?,n-gram,Acceptable,Y,Y,Y
Human Summary,3.0,"What is essential for speech recognition, spelling or grammar correction, machine translation, and augmentative communication technologies?",Predicting upcoming words,Acceptable,Y,Y,N
Original Text,3.0,"What are essential in any task in which we have to identify words in noisy, ambiguous input?",Probabilities,Acceptable,Y,N,Y
Original Text,3.1,What are the MLE estimates for the parameters of an n-gram model?,0 and 1,Acceptable,Y,N,Y
Original Text,3.1,What isn't big enough to give us good estimates in most cases?,web,Acceptable,N,N,N
Automatic Summary,3.1,How does Eq.11 estimate the n-gram probability?,by dividing the observed frequency of a particular sequence by the frequency of a prefix,Acceptable,N,N,N
Automatic Summary,3.1,What are the majority of the bigram counts from a piece of a bigram grammar from the Berkeley Restaurant Project?,zero,Acceptable,N,Y,N
Original Text,3.1,What equation estimates the n-gram probability by dividing the observed frequency of a particular sequence by the observed frequency of a prefix?,Equation 3.12,Acceptable,N,N,N
Automatic Summary,3.1,What shows the bigram counts from a piece of a bigram grammar from the Berkeley Restaurant Project?,Figure 3.1,Acceptable,N,N,Y
Human Summary,3.1,How are bigram probabilities normalized?,by dividing each cell by the set of unigram probabilities,Acceptable,Y,Y,Y
Original Text,3.1,What is the first step in estimating the probability of a word given a history h?,formalizing of notation,Acceptable,Y,Y,Y
Original Text,3.1,What is usually a noun or an adjective?,eat,Acceptable,N,N,N
Automatic Summary,3.1,What is the class of probabilistic models that assume we can predict the probability of some future unit without looking too far into the past?,Markov models,Acceptable,Y,Y,Y
Original Text,3.1,What should you do to estimate the probability of a word w given some history h?,compute this estimate for yourself,Acceptable,Y,N,N
Automatic Summary,3.1,How many words would be more sparse than a random set of?,seven,Acceptable,N,N,N
Automatic Summary,3.1,What encode some facts that we think of as strictly syntactic in nature?,Bigram probabilities,Acceptable,Y,N,N
Human Summary,3.1,All language model probabilities are represented in log format as what?,log probabilities,Acceptable,Y,Y,Y
Original Text,3.1,"For larger n-grams, we'll need to assume what to the left and right of the sentence end?",extra contexts,Acceptable,Y,N,Y
Human Summary,3.1,Why are joint probabilities difficult to calculate?,too many possible sentences of a certain length,Acceptable,Y,Y,Y
Human Summary,3.1,What is another name for the maximum likelihood estimation?,MLE,Acceptable,Y,Y,N
Human Summary,3.1,The n-gram model looks at how many words into the past?,n-1,Acceptable,Y,Y,Y
Original Text,3.1,What is the probability of a complete word sequence by substituting Eq. 3.7 into Eq. 3.4?,3.9,Acceptable,N,N,N
Original Text,3.1,How many words were selected from a random set?,seven,Acceptable,N,N,N
Human Summary,3.2.0,What would happen if we accidentally trained the model on the test set?,bias,Acceptable,Y,Y,N
Original Text,3.2.0,What can be taken from some continuous sequence of text inside the corpus?,test data,Acceptable,Y,N,N
Human Summary,3.2.0,What is a test set that has been used so often that we need a fresher test set?,A development set,Acceptable,Y,Y,Y
Human Summary,3.2.0,What embeds a model in an application and measures how much the application improves in an end to end evaluation?,Extrinsic evaluation,Acceptable,Y,Y,Y
Human Summary,3.2.0,What is the downside of extrinsic evaluation?,very expensive,Acceptable,Y,Y,Y
Human Summary,3.2.0,Which n-gram model assigns a higher probability to the test set?,the one that better fits the test set,Acceptable,Y,N,N
Human Summary,3.2.0,What ensures the quality of a model independent of any application?,intrinsic evaluation,Acceptable,Y,Y,Y
Automatic Summary,3.2.0,Why do we want our test set to be as large as possible?,small test set may be accidentally unrepresentative,Acceptable,Y,Y,Y
Human Summary,3.2.0,What are the three types of data that we divide the data in?,"training set, test set, held out set",Acceptable,Y,Y,N
Original Text,3.2.1,Perplexity is related inversely to what?,likelihood of the test sequence according to the model,Acceptable,Y,Y,Y
Original Text,3.2.1,How is the perplexity of two language models comparable?,if they use identical vocabularies,Acceptable,Y,N,N
Automatic Summary,3.2.1,What can we use to expand the probability of W?,the chain rule,Acceptable,Y,N,Y
Human Summary,3.3.0,What can we use to build an n-gram to answer and predict sentences that make sense in context?,training corpus of a similar genre,Acceptable,Y,Y,Y
Automatic Summary,3.3.0,Our models may still be subject to the problem of what?,sparsity,Acceptable,Y,N,N
Automatic Summary,3.3.0,The n-gram model is dependent on what?,training corpus,Acceptable,Y,Y,Y
Automatic Summary,3.3.0,What is still not sufficient?,Matching genres and dialects,Acceptable,N,N,N
Automatic Summary,3.3.0,What sentences have no coherent relation between words or any sentence-final punctuation?,unigram sentences,Acceptable,Y,Y,Y
Automatic Summary,3.3.0,What sentences have some local word-to-word coherence?,bigram sentences,Acceptable,Y,Y,Y
Original Text,3.3.0,What is the P(offer|denied the)?,0,Acceptable,N,N,N
Automatic Summary,3.3.0,"The longer the context on which we train the model, the more coherent what?",sentences,Acceptable,Y,N,N
Automatic Summary,3.3.0,"For any n-gram that occurred a sufficient number of times, we might have what?",a good estimate of its probability,Acceptable,Y,Y,Y
Original Text,3.3.0,"What shows the sentences generated by unigram, bigram, and trigram grammars trained on 40 million words from WSJ?",Fig. 3.4,Acceptable,N,N,N
Human Summary,3.3.0,N-grams are dependent on what?,training corpus,Acceptable,Y,Y,Y
Original Text,3.3.0,What do the 4-gram sentences look a little too much like?,Shakespeare,Acceptable,N,N,N
Original Text,3.3.1,What is the problem of words whose probability is zero?,bigram probability,Acceptable,Y,N,Y
Human Summary,3.3.1,What is a closed vocabulary system?,the test set doesn't contain any words outside of the given lexicon,Acceptable,Y,Y,Y
Automatic Summary,3.3.1,What are OOV words?,out of vocabulary,Acceptable,Y,Y,Y
Automatic Summary,3.3.1,The exact choice of UNK> model does have an effect on metrics like what?,perplexity,Acceptable,Y,Y,Y
Human Summary,3.3.1,The closed vocabulary system is often used in speech recognition or what?,machine translation,Acceptable,Y,N,Y
Human Summary,3.3.1,What is the term for unknown words?,out of vocabulary,Acceptable,Y,Y,Y
Human Summary,3.3.1,How many ways are there to train probabilities of UNK>?,two,Acceptable,N,Y,Y
Automatic Summary,3.3.1,What is zero for words that we haven't seen before?,bigram probability,Acceptable,N,Y,N
Automatic Summary,3.4.0,What is a modification called to keep a language model from assigning zero probability to unseen events?,smoothing or discounting,Acceptable,Y,N,Y
Original Text,3.4.0,What type of smoothing is introduced?,Kneser-Ney,Acceptable,N,N,Y
Automatic Summary,3.4.0,What do we do to keep a language model from assigning zero probability to unseen events?,shave off a bit of probability mass,Acceptable,Y,N,N
Automatic Summary,3.4.0,What context do words that are in our vocabulary appear in a test set in?,unseen,Acceptable,N,N,N
Original Text,3.4.1,What does Laplace smoothing apply to?,unigram probabilities,Acceptable,Y,N,Y
Original Text,3.4.1,What do we smooth now that we have the intuition for the unigram case?,Berkeley Restaurant Project bigrams,Acceptable,N,N,N
Human Summary,3.4.1,What is the unigram probability of word w_i?,c_i,Acceptable,N,N,Y
Human Summary,3.4.1,What is the adjusted count c* easier to compare with?,MLE counts,Acceptable,N,N,Y
Original Text,3.4.1,What shows the add-one smoothed counts for the bigrams in Fig. 3.1?,Figure 3.5,Acceptable,N,N,N
Original Text,3.4.1,What shows the add-one smoothed counts for the bigrams in Fig. 3.1?,Figure 3.5,Acceptable,N,N,N
Original Text,3.4.2,What is a fractional count k called?,add-k smoothing,Acceptable,Y,N,Y
Automatic Summary,3.4.2,What is the algorithm that adds fractional count k called?,add-k smoothing,Acceptable,Y,Y,N
Automatic Summary,3.4.2,"Instead of adding I to each count, we add what?",fractional count k,Acceptable,N,N,N
Human Summary,3.4.2,What is the algorithm that adds a fractional count k to each count called?,add-k smoothing,Acceptable,Y,Y,Y
Automatic Summary,3.4.3,What shows the equation for interpolation with context-conditioned weights?,Equation 3.28,Acceptable,N,N,N
Automatic Summary,3.4.3,What can help solve the problem of zero frequency n-grams?,Discounting,Acceptable,Y,Y,Y
Human Summary,3.4.3,What are the higher-order n-grams discounted by a function alpha to save some probability mass for?,lower-order n-grams,Acceptable,Y,N,N
Automatic Summary,3.4.3,How is each weight computed in a slightly more sophisticated version of linear interpolation?,by conditioning on the context,Acceptable,Y,Y,Y
Human Summary,3.5,What is Kneser-Ney based on?,absolute discounting,Acceptable,Y,Y,Y
Automatic Summary,3.5,Who used a clever idea to see how to save some probability mass for the smoothing algorithm to distribute to unseen n-grams?,Church and Gale,Acceptable,N,Y,Y
Automatic Summary,3.5,Kneser-Ney discounting augments absolute discounting with a more sophisticated way to handle what?,lower-order unigram distribution,Acceptable,Y,Y,Y
Automatic Summary,3.5,What formalizes this intuition by subtracting a fixed (absolute) discount d from each count?,Absolute discounting,Acceptable,Y,N,N
Automatic Summary,3.5,What will not affect the very high counts?,a small discount d,Acceptable,Y,N,N
Original Text,3.5,What phrase is Kong mainly frequent in?,Hong Kong,Acceptable,N,N,N
Original Text,3.5,What word is included as a regular vocabulary entry with count zero?,UNK>,Acceptable,Y,N,N
Automatic Summary,3.6,What corpora includes n-rams drawn from their book collections?,Google Books Ngrams,Acceptable,Y,Y,Y
Automatic Summary,3.6,What do language model toolkits use to combine probabilities and backoffs in a single value?,sorted arrays,Acceptable,Y,Y,Y
Original Text,3.6,How are probabilities quantized?,4-8 bits,Acceptable,Y,N,N
Human Summary,3.6,How can n-grams be shrunk?,pruning,Acceptable,Y,Y,Y
Human Summary,3.6,What type of hash numbers are stored in memory?,64-bit,Acceptable,Y,N,Y
Automatic Summary,3.6,What does stupid backoff not produce?,probability distribution,Acceptable,Y,Y,N
Automatic Summary,3.7,When is the cross-entropy useful?,when we don't know the actual probability distribution,Acceptable,Y,Y,Y
Human Summary,3.7,"What theorem states that if the language is regular, the entropy of the given language would be the entropy of",Shannon-McMillan-Breiman theorem,Acceptable,Y,N,Y
Automatic Summary,3.7,"What theorem states that if the language is regular in certain ways (to be exact, if it is both stationary and ergo",Shannon-McMillan-Breiman theorem,Acceptable,N,N,N
Original Text,3.7,"To measure the true entropy of a language, we need to consider sequences of what length?",infinite length,Acceptable,Y,Y,Y
Human Summary,3.7,What would give a lower cross-entropy?,The more accurate model,Acceptable,Y,Y,N
Original Text,3.7,What does the spread represent?,the prior probability of each horse,Acceptable,Y,N,N
Original Text,4.0,What is the extraction of positive or negative orientation that a writer expresses toward some object?,sentiment analysis,Acceptable,Y,Y,Y
Human Summary,4.0,Most classifications in language processing are done through what?,supervised machine learning,Acceptable,Y,Y,Y
Automatic Summary,4.0,What is the extraction of sentiment?,sentiment analysis,Acceptable,Y,Y,N
Human Summary,4.0,What is the task of assigning a label or category to an entire text or document?,Text categorization,Acceptable,Y,Y,Y
Automatic Summary,4.0,What is the output variable for lassification?,c,Acceptable,N,N,N
Automatic Summary,4.0,What is another important commercial application?,Spam detection,Acceptable,N,N,N
Original Text,4.0,Classification is essential for what?,tasks below the level of the document,Acceptable,Y,N,N
Human Summary,4.0,What is a core part of sentient intelligence?,Classification,Acceptable,Y,N,N
Automatic Summary,4.0,"Related text classification tasks like what are relevant to the digital humanities, social sciences, and forensic linguistics?",authorship attribution,Acceptable,Y,N,N
Human Summary,4.0,What does a probabilistic classifier output?,probability of an object belonging to a certain class,Acceptable,Y,Y,Y
Human Summary,4.0,What type of classifier builds a model of how a class could generate input?,Generative classifiers,Acceptable,Y,Y,Y
Original Text,4.0,Even language modeling can be viewed as what?,classification,Acceptable,Y,Y,N
Automatic Summary,4.1,Where is the intuition of the naive Bayes classifier shown?,Fig. 4.1,Acceptable,N,N,N
Original Text,4.1,How can we simplify Eq. 4.3?,dropping the denominator,Acceptable,N,N,N
Automatic Summary,4.1,Why are naive Bayes calculations done in log space?,increase speed,Acceptable,Y,N,Y
Human Summary,4.1,Naive Bayes generates words by sampling from what?,conditional probability,Acceptable,Y,Y,Y
Original Text,4.1,How can we simplify Eq. 4.3 by dropping the denominator P(d)?,computing Eq. 4.3,Acceptable,N,N,Y
Automatic Summary,4.1,What is the multinomial naive Bayes classifier?,a Bayesian classifier,Acceptable,Y,N,N
Automatic Summary,4.1,What could we imagine by following this process?,generating artificial documents,Acceptable,N,N,N
Automatic Summary,4.1,What does the naive Bayes classifier state about how a document is generated?,implicit assumption,Acceptable,Y,N,N
Human Summary,4.1,What are the Bayesian classifiers called?,linear classifiers,Acceptable,Y,Y,Y
Human Summary,4.10,What can cause a variety of harms?,classifiers,Acceptable,Y,N,N
Human Summary,4.10,What type of harms are caused by a system that demeans a social group?,Representational,Acceptable,Y,Y,N
Automatic Summary,4.10,What is one class of harms caused by a system that perpetuates negative stereotypes about a social group?,demeans,Acceptable,Y,N,N
Human Summary,4.10,What is another class of harms that may exist in toxicity detection?,Censorship,Acceptable,Y,Y,N
Original Text,4.10,What classifiers can cause harms?,toxicity classifiers,Acceptable,Y,Y,Y
Automatic Summary,4.10,What do some widely used toxicity classifiers incorrectly flag as being?,toxic sentences,Acceptable,Y,N,N
Original Text,4.10,Who published a study in which toxicity classifiers incorrectly flag sentences that are non-toxic but simply mention minority identities?,Davidson et al.,Acceptable,N,Y,Y
Human Summary,4.2,How do some systems ignore stop words?,by sorting the vocabulary,Acceptable,Y,Y,N
Human Summary,4.2,What is calculated as the fraction of times a word appears among all words in all documents of a class?,The maximum likelihood estimate of the conditional probability,Acceptable,Y,N,Y
Original Text,4.2,Why are words not in our vocabulary at all?,they did not occur in any training document in any class,Acceptable,Y,N,Y
Human Summary,4.2,What is the simplest solution to avoid a zero overall probability?,add-one (Laplace) smoothing,Acceptable,Y,Y,Y
Human Summary,4.2,What is the simplest solution for preventing zero probability classes?,Laplace smoothing,Acceptable,Y,Y,Y
